Fall,Major Name,College,Total,Male,Female,Illinois
1981,Music,Fine and Applied Arts,241,142.0,99.0,143.0
1981,Music Education,Fine and Applied Arts,305,134.0,171.0,57.0
1981,Music History,Fine and Applied Arts,6,2.0,4.0,3.0
1981,News-Editorial,Media,122,45.0,77.0,1.0
1981,Nuclear Engineering,Engineering,197,184.0,13.0,37.0
1981,Nutritional Sciences,ACES,43,14.0,29.0,15.0
1981,ORN HORT,ACES,105,61.0,44.0,2.0
1981,OUTDR REC,Applied Health Sciences,37,15.0,22.0,2.0
1981,PERFORM ST,Fine and Applied Arts,21,11.0,10.0,0.0
1981,PLANT PATH,ACES,40,30.0,10.0,28.0
1981,PRE-JOURN,LAS,82,27.0,55.0,2.0
1981,PRE-MED,LAS,22,13.0,9.0,0.0
1981,PROG MANAG,Applied Health Sciences,102,39.0,63.0,5.0
1981,PUB ADMIN,LAS,12,8.0,4.0,1.0
1981,Philosophy,LAS,29,24.0,5.0,14.0
1981,Physics,ACES,356,325.0,31.0,235.0
1981,Plant Biology,LAS,26,15.0,11.0,20.0
1981,Political Science,LAS,42,28.0,14.0,19.0
1981,Professional Pilot,Aviation,12,9.0,3.0,0.0
1981,Psychology,LAS,161,83.0,78.0,85.0
1981,REST MGMT,ACES,52,33.0,19.0,0.0
1981,SCH HEALTH,Applied Health Sciences,15,4.0,11.0,1.0
1981,SOC SCI SP,Applied Health Sciences,5,3.0,2.0,0.0
1981,SOCIAL SCI,LAS,2,1.0,1.0,0.0
1981,Secondary Education,ACES,20,8.0,12.0,0.0
1981,Slavic Languages & Literature,LAS,14,4.0,10.0,12.0
1981,Social Work,Social Work,316,57.0,259.0,23.0
1981,Sociology,LAS,41,23.0,18.0,21.0
1981,Spanish,ACES,49,16.0,33.0,25.0
1981,Special Education,Education,128,18.0,110.0,34.0
1981,Speech & Hearing Science,ACES,139,11.0,128.0,25.0
1981,Speech Communication,LAS,60,31.0,29.0,33.0
1981,Statistics,ACES,10,7.0,3.0,9.0
1981,TCH BIOL,LAS,17,8.0,9.0,0.0
1981,TCH CS,Engineering,3,0.0,3.0,0.0
1981,TCH DANCE,Fine and Applied Arts,7,0.0,7.0,2.0
1981,TCH ENGL,Education,15,1.0,14.0,0.0
1981,TCH ENGL,LAS,45,8.0,37.0,2.0
1981,TCH GEN SCIENCE,Education,3,2.0,1.0,0.0
1981,TCH KINES,Applied Health Sciences,10,4.0,6.0,6.0
1981,TCH LIFE SCI,Education,9,3.0,6.0,0.0
1981,TCH PHYS SCI,Education,2,1.0,1.0,0.0
1981,TCH SOC ST,Education,26,17.0,9.0,0.0
1981,TCH SOC ST,LAS,13,8.0,5.0,0.0
1981,TCH SPEECH,LAS,10,3.0,7.0,0.0
1981,TECH ED SP,Education,67,46.0,21.0,11.0
1981,TEXT-APPRL,ACES,11,0.0,11.0,0.0
1981,THER REC,Applied Health Sciences,78,7.0,71.0,6.0
1981,Teaching of Chemistry,ACES,9,5.0,4.0,1.0
1981,Teaching of English Sec Lang,ACES,76,14.0,62.0,42.0
1981,Teaching of French,ACES,12,1.0,11.0,3.0
1981,Teaching of German,ACES,7,1.0,6.0,2.0
1981,Teaching of Latin,ACES,2,1.0,1.0,0.0
1981,Teaching of Mathematics,ACES,20,6.0,14.0,0.0
1981,Teaching of Physics,ACES,1,0.0,1.0,0.0
1981,Teaching of Spanish,Business,28,3.0,25.0,1.0
1981,Theatre,Business,129,63.0,66.0,39.0
1981,Theatre,Fine and Applied Arts,26,15.0,11.0,5.0
1981,Theoretical & Applied Mechans,Engineering,50,45.0,5.0,31.0
1981,UNCLASS,Fine and Applied Arts,71,29.0,42.0,13.0
1981,UNCLASS,LAS,215,69.0,146.0,42.0
1981,Urban Planning,Fine and Applied Arts,109,57.0,52.0,32.0
1981,VMS - Veterinary Biosciences,VetMed,28,19.0,9.0,16.0
1981,VMS - Veterinary Pathobiology,VetMed,29,19.0,10.0,14.0
1981,VMS-Veterinary Clinical Medcne,VetMed,15,9.0,6.0,7.0
1981,VOC H E ED,ACES,27,0.0,27.0,0.0
1981,Veterinary Medical Science,VetMed,17,11.0,6.0,10.0
1981,Veterinary Medicine,VetMed,350,199.0,151.0,6.0
1981,Wood Sciences,ACES,5,5.0,0.0,0.0
1982,Accountancy,Business,1554,862.0,692.0,81.0
1982,Advertising,Media,248,78.0,170.0,227.0
1982,Aero & Astro Engineering,Engineering,481,443.0,38.0,49.0
1982,Agr & Environmental Cmc & Educ,ACES,4,4.0,0.0,3.0
1982,Agricultural & Applied Econ,ACES,386,322.0,64.0,50.0
1982,Agricultural Communications,ACES,86,30.0,56.0,0.0
1982,Agricultural Education,ACES,25,20.0,5.0,0.0
1982,Agricultural Engineering,ACES,109,102.0,7.0,1.0
1982,Agricultural Engineering,Engineering,97,88.0,9.0,11.0
1982,Agricultural Sciences,ACES,68,50.0,18.0,2.0
1982,Agronomy,ACES,179,132.0,47.0,63.0
1982,Air Systems,Aviation,135,126.0,9.0,0.0
1982,Animal Sciences,ACES,508,261.0,247.0,41.0
1982,Anthropology,LAS,70,34.0,36.0,35.0
1982,Application Design,ACES,12,0.0,12.0,1.0
1982,Architectural Studies,Fine and Applied Arts,583,412.0,171.0,48.0
1982,Architecture,Fine and Applied Arts,235,197.0,38.0,66.0
1982,Art Education,Fine and Applied Arts,72,13.0,59.0,10.0
1982,Art History,Fine and Applied Arts,63,16.0,47.0,16.0
1982,Art and Design,Fine and Applied Arts,360,150.0,210.0,50.0
1982,Asian Studies,LAS,27,8.0,19.0,9.0
1982,Astronomy,LAS,15,14.0,1.0,13.0
1982,Atmospheric Sciences,LAS,23,17.0,6.0,16.0
1982,Avionics,Aviation,9,9.0,0.0,0.0
1982,BUS EDUC,Education,31,5.0,26.0,0.0
1982,Biochemistry,LAS,82,54.0,28.0,37.0
1982,Biology,Applied Health Sciences,30,9.0,21.0,5.0
1982,Biology,LAS,175,92.0,83.0,54.0
1982,Biophysics & Computnl Biology,LAS,26,20.0,6.0,16.0
1982,Broadcast Journalism,Media,39,18.0,21.0,39.0
1982,Business Administration,Business,1147,641.0,506.0,131.0
1982,CER ENGR,Engineering,117,87.0,30.0,13.0
1982,CERAMICS,Engineering,1,0.0,1.0,1.0
1982,CONSM ECON,ACES,2,1.0,1.0,0.0
1982,CORE CURR,ACES,115,76.0,39.0,1.0
1982,Chemical Engineering,LAS,551,419.0,132.0,89.0
1982,Chemical Physics,LAS,6,4.0,2.0,5.0
1982,Chemistry,LAS,550,415.0,135.0,235.0
1982,Civil Engineering,Engineering,672,568.0,104.0,127.0
1982,Classical Philology,LAS,11,9.0,2.0,8.0
1982,Classics,LAS,6,4.0,2.0,4.0
1982,Communication,Media,41,18.0,23.0,18.0
1982,Community Health,Applied Life Sciences,40,10.0,30.0,8.0
1982,Comparative Literature,LAS,43,19.0,24.0,34.0
1982,Computer Engineering,Engineering,357,301.0,56.0,26.0
1982,Computer Science,Business,318,255.0,63.0,173.0
1982,Computer Science,Engineering,648,466.0,182.0,27.0
1982,Crafts,Fine and Applied Arts,25,5.0,20.0,3.0
1982,DAIRY SCI,ACES,67,44.0,23.0,23.0
1982,DIETETICS,ACES,46,0.0,46.0,2.0
1982,Dance,Fine and Applied Arts,47,2.0,45.0,13.0
1982,ED POL ST,Education,66,33.0,33.0,35.0
1982,ED SEC&CON,Education,117,44.0,73.0,44.0
1982,EDUC ELEMENTARY,Education,145,16.0,129.0,43.0
1982,EDUC GEN,Education,135,27.0,108.0,2.0
1982,EDUC IDISC,Education,8,5.0,3.0,2.0
1982,ENGR MECH,Engineering,42,35.0,7.0,2.0
1982,ENGR PHYS,Engineering,88,79.0,9.0,3.0
1982,ENV ENGR,Engineering,30,25.0,5.0,14.0
1982,ENV SCI,Engineering,15,11.0,4.0,9.0
1982,EXT EDUC,ACES,12,2.0,10.0,2.0
1982,Early Childhood Education,Education,38,0.0,38.0,1.0
1982,Economics,Business,181,142.0,39.0,81.0
1982,Ed Organization and Leadership,Education,130,55.0,75.0,15.0
1982,Educ Voc Tech,Education,113,55.0,58.0,29.0
1982,Educational Psychology,Education,172,69.0,103.0,50.0
1982,Electrical Engineering,Engineering,1512,1353.0,159.0,226.0
1982,Elementary Education,Education,382,21.0,361.0,6.0
1982,English,LAS,110,50.0,60.0,55.0
1982,Entomology,LAS,33,26.0,7.0,20.0
1982,FAM&CON EC,ACES,9,0.0,9.0,3.0
1982,Finance,Business,557,348.0,209.0,31.0
1982,Food Science & Human Nutrition,ACES,206,72.0,134.0,47.0
1982,Forestry,ACES,100,76.0,24.0,3.0
